Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Oakland RaidersOAK,OAK,SD@OAK,28.0,3.0,0,1,3,2,2,27,415,91,506,,,,,,
Arizona CardinalsARI,ARI,NO@ARI,25.0,1.0,3,0,1,0,2,20,273,85,358,,,,,,
Atlanta FalconsATL,ATL,ATL@CLE,22.0,3.0,2,0,1,0,1,10,221,48,269,,,,,,
Chicago BearsCHI,CHI,CHI@CAR,21.0,5.0,3,0,0,0,0,6,62,85,147,,,,,,
New York JetsNYJ,NYJ,MIN@NYJ,20.0,4.0,1,0,2,0,1,20,240,96,336,,,,,,
Philadelphia EaglesPHI,PHI,PHI@SF,19.0,2.0,2,0,3,0,1,24,290,74,364,,,,,,
Washington RedskinsWAS,WAS,GB@WAS,15.0,4.0,1,0,1,0,0,13,270,157,427,,,,,,
Tampa Bay BuccaneersTB,TB,TB@CIN,15.0,0.0,3,0,1,0,1,21,209,149,358,,,,,,
New York GiantsNYG,NYG,NYG@HOU,14.0,3.0,1,0,1,0,0,10,171,24,195,,,,,,
Tennessee TitansTEN,TEN,TEN@DAL,13.0,6.0,3,0,0,0,0,27,370,141,511,,,,,,
Carolina PanthersCAR,CAR,CHI@CAR,12.0,3.0,4,0,0,0,0,23,29,218,247,,,,,,
Green Bay PackersGB,GB,GB@WAS,11.0,5.0,1,0,0,0,0,16,322,51,373,,,,,,
Indianapolis ColtsIND,IND,KC@IND,10.0,1.0,0,0,1,0,0,9,148,113,261,,,,,,
Cincinnati BengalsCIN,CIN,TB@CIN,10.0,3.0,1,0,2,0,0,24,266,125,391,,,,,,
Cleveland BrownsCLE,CLE,ATL@CLE,10.0,2.0,0,0,1,1,0,20,173,165,338,,,,,,
Buffalo BillsBUF,BUF,JAX@BUF,8.0,2.0,1,0,2,0,0,36,165,216,381,,,,,,
Baltimore RavensBAL,BAL,DEN@BAL,7.0,1.0,0,0,1,0,0,17,307,39,346,,,,,,
San Francisco 49ersSF,SF,PHI@SF,7.0,4.0,0,0,1,0,0,27,227,125,352,,,,,,
Kansas City ChiefsKC,KC,KC@IND,7.0,1.0,1,0,0,0,0,19,244,97,341,,,,,,
New Orleans SaintsNO,NO,NO@ARI,6.0,4.0,1,0,0,0,0,30,153,41,194,,,,,,
Jacksonville JaguarsJAX,JAX,JAX@BUF,4.0,3.0,0,0,0,0,0,26,196,110,306,,,,,,
Houston TexansHOU,HOU,NYG@HOU,4.0,0.0,2,0,0,0,0,34,297,117,414,,,,,,
San Diego ChargersSD,SD,SD@OAK,3.0,3.0,0,0,0,0,0,35,168,111,279,,,,,,
Dallas CowboysDAL,DAL,TEN@DAL,3.0,3.0,0,0,0,0,0,34,163,158,321,,,,,,
Minnesota VikingsMIN,MIN,MIN@NYJ,2.0,2.0,0,0,0,0,0,29,173,155,328,,,,,,
S,STL,STL@DET,1.0,1.0,0,0,0,0,0,44,233,89,322,,,,,,
Denver BroncosDEN,DEN,DEN@BAL,1.0,1.0,0,0,0,0,0,31,182,233,415,,,,,,
